番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
5,72,B,72-B-005,ノミやダニの駆除に使用される昆虫幼若ホルモン類似薬はどれか。,メトプレン,フィプロニル,ルフェヌロン,アレスリン,カルバリル,1,1,メトプレン
6,72,B,72-B-006,犬の歯肉腫瘍に関する記述として適当でないのはどれか。,アミロイド産生を伴う歯原性腫瘍が生じる。,高分化型線維肉腫は顎骨への浸潤性が強い。,局所浸潤性が強い扁平上皮癌を生じる。,有棘細胞性エナメル上皮腫は良性の限局性腫瘍である。,メラノサイト由来の腫瘍の多くは悪性腫瘍に分類される。,4,4,有棘細胞性エナメル上皮腫は良性の限局性腫瘍である。
7,72,B,72-B-007,犬の天疱瘡に関する記述として適当なのはどれか。（2つ選びなさい。）,メラノサイトが減少して色素脱出が生じる。,好酸球の浸潤が特徴である。,尋常性天疱瘡は口腔粘膜に病変が好発する。,犬では落葉状天疱瘡が最も発生頻度が高い。,アポトーシスに陥った表皮細胞を取り囲むようにリンパ球が出現する。,4,"3, 4","尋常性天疱瘡は口腔粘膜に病変が好発する。,犬では落葉状天疱瘡が最も発生頻度が高い。"
8,72,B,72-B-008,老齢犬の心内膜症の肉眼所見として適切なのはどれか。（2つ選びなさい。）,石灰沈着,三尖弁に好発,心房の拡張,心内膜の線維化,弁膜血腫,4,"3, 4","心房の拡張,心内膜の線維化"
9,72,B,72-B-009,"アフリカ豚熱(アフリカ豚コレラ)あるいはその病原体に関する記述として
誤っているのはどれか。",野生のイノシシがレゼルボアとなる。,ダニが媒介する。,臨床症状は豚熱(豚コレラ)と類似している。,ゲノムは直鎖状の2本鎖DNAである。,ワクチンによる予防が有効である。,5,5,ワクチンによる予防が有効である。
10,72,B,72-B-010,"SARS-CoV-2(新型コロナウイルス)に対する感受性が比較的高い動物はど
れか。（2つ選びなさい。）",あひる,猫,フェレット,豚,鶏,3,"2, 3","猫,フェレット"
11,72,B,72-B-011,プリオンの不活化に用いられるのはどれか。（2つ選びなさい。）,SDS,ホルマリン,β−プロピオラクトン,エチレンオキサイドガス,次亜塩素酸ナトリウム,2,"1, 5","SDS,次亜塩素酸ナトリウム"
12,72,B,72-B-012,抗体依存性感染増強(ADE)が関与するとされている疾患はどれか。,狂犬病,犬ジステンパー,猫汎白血球減少症,猫伝染性腹膜炎,猫カリシウイルス病,4,4,猫伝染性腹膜炎
13,72,B,72-B-013,"出産期のめん羊と同居していた牛が発熱し、口腔粘膜のびらんおよび角膜混濁
を呈して死亡した。最も疑われる疾患はどれか。",悪性カタル熱,牛パラインフルエンザ,牛流行熱,ネオスポラ症,牛コロナウイルス病,1,1,悪性カタル熱
14,72,B,72-B-014,豚熱(豚コレラ)に関する記述として適切なのはどれか。（2つ選びなさい。）,原因ウイルスは日本脳炎ウイルスと同じウイルス科に属する。,感染は肺だけに留まる。,感染細胞に細胞質内封入体が認められる。,我が国では発生農場においてワクチン非接種豚のみが殺処分の対象となる。,トキソプラズマ症との類症鑑別が必要である。,2,"1, 5","原因ウイルスは日本脳炎ウイルスと同じウイルス科に属する。,トキソプラズマ症との類症鑑別が必要である。"
15,72,B,72-B-015,鶏で腫瘍を形成するのはどれか。,鳥マイコプラズマ症(鶏マイコプラズマ病),ニューカッスル病,家きんサルモネラ症,家きんコレラ,マレック病,5,5,マレック病
16,72,B,72-B-016,嚥下障害を主徴とする牛の疾患はどれか。,牛マイコプラズマ病,牛RSウイルス病,牛伝染性鼻気管炎,牛流行熱,イバラキ病,5,5,イバラキ病
17,72,B,72-B-017,牛の小型ピロプラズマ症に関する記述として正しいのはどれか。,血色素尿は通常みられない。,1宿主性のマダニにより媒介される。,病原体は感染リンパ球の増殖を引き起こす。,アフリカ大陸で発生がみられる。,病原体はバベシア(Babesia)属に分類される。,1,1,血色素尿は通常みられない。
18,72,B,72-B-018,"疾患と原因寄生虫の組合せとして正しいのはどれか。
疾患　－　寄生虫",媾疫 　－　ブルーストリパノソーマ( Trypanosoma brucei),ナガナ病 　－　クルーズトリパノソーマ(Trypanosoma cruzi),ワヒ病 　－　指状糸状虫(Setaria digitata),皮膚爬行症 　－　ドロレス顎口虫(Gnathostoma doloresi),夏創 　－　頸部糸状虫(Onchocerca cervicalis),4,4,皮膚爬行症 　－　ドロレス顎口虫(Gnathostoma doloresi)
19,72,B,72-B-019,食肉あるいは食鳥処理における検査に関する記述として正しいのはどれか。,食鳥処理においても「と畜場法」に従って検査を行う。,解体時・解体後検査で旋毛虫が認められた場合は全部廃棄措置をとる。,検印は枝肉のみに押す。,法律で食用に供するイノシシの検査を行う義務がある。,現在は48か月齢を超える全ての牛を対象としてBSE検査を行っている。,2,2,解体時・解体後検査で旋毛虫が認められた場合は全部廃棄措置をとる。
20,72,B,72-B-020,猫では主に不顕性感染になる人獣共通感染症はどれか。（2つ選びなさい。）,ペスト,狂犬病,猫ひっかき病,カプノサイトファーガ症,重症熱性血小板減少症候群(SFTS),4,"3, 4","猫ひっかき病,カプノサイトファーガ症"
21,72,B,72-B-021,"2014年に我が国でヒトスジシマカの媒介による国内感染が報告された人獣共
通感染症はどれか。",チクングニア熱,黄熱,日本脳炎,ジカ熱,デング熱,5,5,デング熱
22,72,B,72-B-022,"「乳及び乳製品の成分規格等に関する省令(乳等省令)」および「乳等省令の一部
を改正する省令」で定められている牛乳の成分規格として正しいのはどれか。（2つ選びなさい。）","細菌数は標準平板培養法で50,000 /ml以下であること",大腸菌は陰性であること,酸度は乳酸として3%以下であること,全ての抗菌性物質は検出されてはならないこと,放射性セシウムは50 Bq/kgを超えてはならないこと,2,"1, 5","細菌数は標準平板培養法で50,000 /ml以下であること,放射性セシウムは50 Bq/kgを超えてはならないこと"
23,72,B,72-B-023,"「食品衛生法」に基づいて米(精米、玄米)における成分規格が定められて
いる金属はどれか。",カドミウム,鉛,ヒ素,水銀,銅,1,1,カドミウム
24,72,B,72-B-024,"食品や水の衛生管理状態を評価するために行われる微生物学的検査と、検査
に用いられる培地の組合せとして正しいのはどれか。
検査項目　－　培地",一般生菌数 　－　普通寒天培地,大腸菌群 　－　AC培地,糞便系大腸菌群 　－　EC培地,従属栄養細菌 　－　BGLB培地,腸内細菌科菌群 　－　デソキシコレート寒天培地,3,3,糞便系大腸菌群 　－　EC培地
25,72,B,72-B-025,"ノロウイルス食中毒あるいはその病原体に関する記述として適切なのはどれ
か。",ピコルナウイルス科に分類される。,培養細胞によるウイルス分離が検査法として用いられる。,二枚貝の体内で増殖する。,ヒトからヒトへの感染は極めてまれである。,次亜塩素酸ナトリウムによる消毒が有効である。,5,5,次亜塩素酸ナトリウムによる消毒が有効である。
26,72,B,72-B-026,水俣病に関する記述として誤っているのはどれか。,原因物質はメチル水銀である。,腎臓の尿細管における再吸収機能が障害される。,原因物質は胎盤を通過して先天性疾患を引き起こす。,阿賀野川流域において同様の公害問題が発生した。,原因物質が蓄積した魚介類を摂取することにより発生した。,2,2,腎臓の尿細管における再吸収機能が障害される。
27,72,B,72-B-027,"「環境基本法」に基づく土壌の汚染に係る環境基準において検出されないこ
とが規定されているのはどれか。（2つ選びなさい。）",六価クロム,ヒ素,アルキル水銀,PCB,カドミウム,4,"3, 4","アルキル水銀,PCB"
28,72,B,72-B-028,ダイオキシン類に関する記述として誤っているのはどれか。,脂溶性物質である。,有機化合物を塩素存在下で300500 °Cの温度で燃焼するときに発生する。,「化学物質の審査及び製造等の規制に関する法律(化審法)」の規制の対象外,"最も毒性が強いのは2, 3, 7, 8−四塩化ジベンゾ−パラ−ジオキシンである。",我が国では食品のうち野菜類からの摂取量が最も多い。,5,5,我が国では食品のうち野菜類からの摂取量が最も多い。
29,72,B,72-B-029,"「環境基本法」が定める「典型7公害」のうち、2013年以降我が国で苦情件
数が最も多いのはどれか。",大気汚染,水質汚濁,悪臭,土壌汚染,騒音,5,5,騒音
30,72,B,72-B-030,リーシュマニア症あるいはその病原体に関する記述として適切なのはどれか。,主に赤血球に感染する。,ベクターはサシチョウバエである。,サハラ砂漠以南のアフリカに限局して発生している。,内臓リーシュマニア症は睡眠病と呼ばれる。,ワクチンが実用化されている。,2,2,ベクターはサシチョウバエである。
31,72,B,72-B-031,Bウイルス感染症あるいはその病原体に関する記述として適切なのはどれか。,フラビウイルス科に属する。,日本での発生はない。,ベクターは蚊である。,ヒトに重篤な出血熱を引き起こす。,自然宿主はサルである。,5,5,自然宿主はサルである。
32,72,B,72-B-032,豚丹毒あるいはその病原体に関する記述として誤っているのはどれか。,ヒトでは汚染食品の摂取により経口感染することが多い。,グラム陽性小桿菌である。,ヒトの疾患は類丹毒と呼ぶ。,畜舎周囲の土壌や汚水から分離される。,外見上健康な豚の扁桃から分離されることがある。,1,1,ヒトでは汚染食品の摂取により経口感染することが多い。
33,72,B,72-B-033,症例対照研究に関する記述として適切なのはどれか。,ある因子に対する曝露群と非曝露群を一定期間追跡する。,疾患発生と因子の関連性を評価するために相対リスクを用いる。,後ろ向き研究である。,曝露頻度の低い疾患の調査に向いている。,疾患発生との関連性を検討したい因子は1つしか設定できない。,3,3,後ろ向き研究である。
34,72,B,72-B-034,PM2.5に関する記述として適切なのはどれか。,ガス状物質である。,ザルツマン法により大気中の濃度を測定する。,鉱物由来の無機繊維である。,疫学調査により呼吸器系疾患への関与が指摘されている。,有害大気汚染物質の優先取組物質に含まれる。,4,4,疫学調査により呼吸器系疾患への関与が指摘されている。
35,72,B,72-B-035,疾患のスクリーニング検査に関する記述として適当でないのはどれか。,簡便で安価な検査法を用いる。,組織的に実施する。,病原体の分離培養が検査法として多用されている。,早期摘発を目的に実施する。,見かけ上健康な個体の集団から罹患の可能性が高い個体をふるい分ける。,3,3,病原体の分離培養が検査法として多用されている。
36,72,B,72-B-036,「悪臭防止法」に定められている糞尿由来の特定悪臭物質はどれか。（2つ選びなさい。）,アセトアルデヒド,メチルメルカプタン,硫化メチル,イソブタノール,キシレン,3,"2, 3","メチルメルカプタン,硫化メチル"
37,72,B,72-B-037,雌雄ともに吸血するのはどれか。,アブ,ヌカカ,ブユ,サシバエ,カ,4,4,サシバエ
38,72,B,72-B-038,"乳牛のボディコンディションスコア(BCS)に関する記述として最も適切な
のはどれか。",乾乳期はBCSを4.0以上にするのがよい。,BCSと泌乳ステージからコンディションの適正を評価する。,BCSが高いときは栄養が不足していると判断する。,BCSは体脂肪の消費程度を示す。,BCSが3.5では腰角、股関節、坐骨の3点がV字型を示す。,2,2,BCSと泌乳ステージからコンディションの適正を評価する。
39,72,B,72-B-039,鶏のビタミンA欠乏によって起こる疾患として最も適当なのはどれか。,尿酸塩沈着症,脊椎すべり症,栄養性筋症,骨粗鬆症,脂肪肝出血症候群,1,1,尿酸塩沈着症
40,72,B,72-B-040,"法令に基づき輸入時の検疫対象となる動物と繋留期間の組合せとして正しい
のはどれか。
動物　－　繋留期間",馬 　－　14日間,牛 　－　15日間,豚 　－　10日間,サル 　－　21日間,鶏 　－　7日間,2,2,牛 　－　15日間
41,72,B,72-B-041,犬の免疫介在性血小板減少症に関する記述として正しいのはどれか。（2つ選びなさい。）,臨床症状として皮下に点状出血を呈する。,ビタミンKの欠乏によって生じる。,原発性免疫介在性血小板減少症の死亡率は約80%である。,APTTが延長する。,初期治療は主にグルココルチコイドの投与である。,2,"1, 5","臨床症状として皮下に点状出血を呈する。,初期治療は主にグルココルチコイドの投与である。"
42,72,B,72-B-042,猫の糖尿病に関する記述として正しいのはどれか。,雌で好発する。,若齢で発症が多い。,血清フルクトサミン濃度が低値を示す。,低炭水化物食の給与が推奨される。,中間型インスリンが治療の第一選択である。,4,4,低炭水化物食の給与が推奨される。
43,72,B,72-B-043,猫の低コバラミン血症の原因として適切なのはどれか。,巨大食道症,胆石症,慢性肝炎,膵外分泌不全,直腸腺癌,4,4,膵外分泌不全
44,72,B,72-B-044,"若齢犬の口腔内や皮膚にカリフラワー様の腫瘤性病変や疣贅を形成するウイ
ルスの科はどれか。",パピローマウイルス科,ヘルペスウイルス科,カリシウイルス科,コロナウイルス科,アデノウイルス科,1,1,パピローマウイルス科
45,72,B,72-B-045,犬のファンコーニ症候群でみられる徴候として誤っているのはどれか。,多飲多尿,高カリウム血症,タンパク尿,尿糖,代謝性アシドーシス,2,2,高カリウム血症
46,72,B,72-B-046,犬と猫の疾患時の栄養管理に関する記述として適切でないのはどれか。,食欲不振時は経静脈栄養が治療の第一選択である。,栄養要求量は安静時エネルギー要求量をもとに算出する。,絶食は絨毛の萎縮や消化管吸収障害をもたらす。,慢性的な栄養失調状態の猫では肝リピドーシスを生じる。,犬の慢性膵炎では低脂肪食の給与が望ましい。,1,1,食欲不振時は経静脈栄養が治療の第一選択である。
47,72,B,72-B-047,犬の精巣腫瘍に関する記述として正しいのはどれか。,セルトリ細胞腫の一部の例では汎血球減少症が生じる。,セルトリ細胞腫は高プロジェステロン血症を起こす。,潜在精巣の犬にはライディッヒ細胞腫が多発する。,ライディッヒ細胞腫は雌性化徴候を起こす。,精上皮腫の多くは悪性腫瘍である。,1,1,セルトリ細胞腫の一部の例では汎血球減少症が生じる。
48,72,B,72-B-048,門脈高血圧を生じる疾患・病態として適切でないのはどれか。,肝硬変,動脈門脈瘻,先天性門脈体循環シャント,門脈低形成,門脈血栓,3,3,先天性門脈体循環シャント
49,72,B,72-B-049,犬の副腎皮質機能亢進症における血液検査所見として誤っているのはどれか。,ALPの上昇,ALTの上昇,総コレステロールの上昇,血糖値の低下,尿素窒素の低下,4,4,血糖値の低下
50,72,B,72-B-050,短頭種気道症候群に関する記述として誤っているのはどれか。,呼気性の呼吸困難である。,非心原性肺水腫を合併することがある。,症状は外気温が高いと悪化する。,喉頭の浮腫に対しコルチコステロイドを投与する。,嘔吐などの消化器症状を併発することが多い。,1,1,呼気性の呼吸困難である。
51,72,B,72-B-051,犬の脳炎に関する記述として正しいのはどれか。,壊死性髄膜脳炎はジステンパーウイルスの感染が関与する。,壊死性髄膜脳炎には播種型、巣状型、眼型がある。,壊死性髄膜脳炎はパグに好発する。,肉芽腫性髄膜脳炎はMRI検査で確定診断できる。,肉芽腫性髄膜脳炎では脳脊髄液中に抗アストロサイト抗体が高率に検出される。,3,3,壊死性髄膜脳炎はパグに好発する。
52,72,B,72-B-052,犬と猫の重症筋無力症を診断するための検査項目はどれか。,クームス試験,抗アセチルコリン受容体抗体,抗核抗体,抗サイログロブリン抗体,ベンスジョーンズ蛋白,2,2,抗アセチルコリン受容体抗体
53,72,B,72-B-053,猫の肝リピドーシスで一般的にみられる所見はどれか。,急激な体重増加,血清クレアチニンの上昇,X線検査における小肝症,超音波検査における肝実質のエコーレベルの上昇,肝臓の細胞診におけるリンパ球形質細胞の浸潤,4,4,超音波検査における肝実質のエコーレベルの上昇
54,72,B,72-B-054,ストルバイト結石による牛の尿石症の治療薬はどれか。,硫酸マグネシウム,炭酸水素ナトリウム,塩酸メトクロプラミド,塩化アンモニウム,塩酸クレンブテロール,4,4,塩化アンモニウム
55,72,B,72-B-055,牛のサルモネラ症あるいはその原因菌に関する記述として適切なのはどれか。（2つ選びなさい。）,病原菌は通性嫌気性グラム陰性桿菌である。,経口感染により伝播する。,成牛では主に肺炎を起こす。,治療は行わず殺処分される。,分娩前にカルシウム剤を経口投与することが予防となる。,1,"1, 2","病原菌は通性嫌気性グラム陰性桿菌である。,経口感染により伝播する。"
56,72,B,72-B-056,牛の急性ワラビ中毒の主症状はどれか。,光線過敏症,強直性けいれん,流涎,出血傾向,被毛褪色,4,4,出血傾向
57,72,B,72-B-057,牛の第四胃変位に関する記述として適切でないのはどれか。,第四胃運動の減退と第四胃内ガスの貯留を伴う。,左方変位では第四胃が第三胃と左腹壁の間に変位する。,右方変位では第四胃が腸管と右腹壁の間に変位する。,右方変位から第四胃捻転に進行することがある。,左方変位では牛体回転整復法が治療の選択肢となる。,2,2,左方変位では第四胃が第三胃と左腹壁の間に変位する。
58,72,B,72-B-058,犬の胸部X線背腹像で、心陰影が12時方向に拡大する疾患はどれか。（2つ選びなさい。）,大動脈弁狭窄,動脈管開存症,犬糸状虫症,右大動脈弓遺残,僧帽弁閉鎖不全症,3,"2, 3","動脈管開存症,犬糸状虫症"
59,72,B,72-B-059,腹部X線撮影で、臓器のコントラストが上昇する疾患・病態はどれか。,がん性腹膜炎,子宮蓄膿症,肥満,膵炎,膀胱破裂,3,3,肥満
60,72,B,72-B-060,犬の肛門周囲腫瘍に関する記述として最も適切なのはどれか。,避妊雌には肛門周囲腺腫は発生しない。,肛門周囲腺腫の細胞診では肝細胞様の細胞が観察される。,肛門周囲腺癌は肛門周囲腺腫より発生が多い。,肛門嚢アポクリン腺癌は低カルシウム血症を惹起することがある。,肛門嚢アポクリン腺癌はほとんどの症例で肺転移が生じる。,2,2,肛門周囲腺腫の細胞診では肝細胞様の細胞が観察される。
61,72,B,72-B-061,犬の乳腺腫瘍に関する記述として最も適切なのはどれか。,体壁の筋肉にしばしば浸潤する。,頭側の乳腺に多発し、尾側ではまれである。,初回発情前の避妊手術によって発生率が低下する。,乳腺の両側全摘出が治療の第一選択である。,腫瘍の大きさは予後に関連しない。,3,3,初回発情前の避妊手術によって発生率が低下する。
62,72,B,72-B-062,犬の食道内異物に関する記述として最も適切なのはどれか。,大型犬で発生が多い。,ほとんどは無徴候である。,胸部食道の遠位で多く認められる。,診断後速やかに食道切開で摘出する。,術後の合併症として巨大食道症が生じる。,3,3,胸部食道の遠位で多く認められる。
63,72,B,72-B-063,犬の離断性骨軟骨症に関する記述として最も適切なのはどれか。,高齢で発生が多い。,手根関節で発生が多い。,軟骨内骨化の障害が認められる。,単純X線検査では診断できない。,手術による関節固定が治療の第一選択である。,3,3,軟骨内骨化の障害が認められる。
64,72,B,72-B-064,犬の前十字靱帯断裂において二次的に損傷しやすい組織はどれか。,内側半月,外側半月,膝蓋骨,外側側副靱帯,膝蓋靱帯,1,1,内側半月
65,72,B,72-B-065,犬の尾側頸椎脊髄症(ウォブラー症候群)の記述として適当でないのはどれか。,ドーベルマンで発生が多い。,腹側減圧術や椎体固定術が行われる。,前肢の歩幅の短縮を呈することがある。,診断にはMRI検査が有用である。,主な原因はハンセンI型椎間板ヘルニアである。,5,5,主な原因はハンセンI型椎間板ヘルニアである。
66,72,B,72-B-066,犬の汎骨炎に関する記述として適切でないのはどれか。,若齢の大型犬で発生が多い。,移動性の四肢跛行を呈する。,高尿酸血症が原因である。,単純X線検査により診断する。,自然治癒することが多い。,3,3,高尿酸血症が原因である。
67,72,B,72-B-067,犬と猫の下顎骨折に適切でない骨折固定法はどれか。,髄内ピン法,歯間ワイヤー法,骨片間ワイヤー法,創外固定法,プレート法,1,1,髄内ピン法
68,72,B,72-B-068,犬の総踵骨腱(アキレス腱)断裂に関する記述として最も適切なのはどれか。,両側性の断裂は若齢の小型犬に多い。,完全断裂では足根部が過屈曲して沈下する。,完全断裂と部分断裂を鑑別するためにX線検査を実施する。,断裂した腱はレンベルト縫合法により整復する。,術後できるだけ早期に運動を再開させる。,2,2,完全断裂では足根部が過屈曲して沈下する。
69,72,B,72-B-069,牛の脂肪壊死症に関する記述として適切でないのはどれか。,腹腔内の脂肪組織が壊死硬化して限局性の集塊を形成する。,好発部位は主に空腸周囲の脂肪組織である。,腸管の通過障害を呈する。,根本的な治療法はない。,濃厚飼料の過給を避けることが予防になる。,2,2,好発部位は主に空腸周囲の脂肪組織である。
70,72,B,72-B-070,牛肺虫症に関する記述として適切でないのはどれか。,放牧地にて経口的に牛に感染する。,主な徴候は発咳である。,末梢血好酸球の増加がみられる。,浮遊法による糞便からの虫卵検出で診断する。,イベルメクチン製剤が治療に有効である。,4,4,浮遊法による糞便からの虫卵検出で診断する。
71,72,B,72-B-071,牛の尿腟に関する記述として誤っているのはどれか。,子宮間膜や腟壁と周囲組織の弛緩による子宮・腟の下垂により生じる。,栄養過多の老齢牛に多い。,排泄された尿が腟深部に逆流して貯留する。,尿の貯留が長期におよぶと子宮頸管炎や子宮内膜炎を続発する。,腟洗浄後に交配することによって受胎する可能性がある。,2,2,栄養過多の老齢牛に多い。
73,72,B,72-B-073,牛の産褥性子宮炎に関する記述として適切なのはどれか。,分娩時および産褥期の子宮へのウイルス感染が直接的な原因である。,無色透明な粘液の排出がみられる。,食欲停止、体温上昇、頻脈などが認められる。,確定診断には超音波診断装置が必要である。,プロジェステロン製剤で治療する。,3,3,食欲停止、体温上昇、頻脈などが認められる。
74,72,B,72-B-074,夏季不妊症に関する記述として適切でないのはどれか。,夏季に雄の精液性状が不良となり、受胎率が低下する現象である。,牛、めん羊、豚に発生がみられる。,栄養摂取量の減少や飼料消化率の低下などが誘因となる。,血中オキシトシン濃度の測定で確定診断できる。,治療と予防には畜舎の換気や全身への散水などが考えられる。,4,4,血中オキシトシン濃度の測定で確定診断できる。
75,72,B,72-B-075,"疾患モデルと実験動物の組合せとして正しいのはどれか。
疾患モデル　－　実験動物",糖尿病モデル 　－　NCマウス,高脂血症モデル 　－　SCIDマウス,腎疾患モデル 　－　BBマウス,がん組織移植モデル 　－　NODマウス,高血圧モデル 　－　SHRラット,5,5,高血圧モデル 　－　SHRラット
76,72,B,72-B-076,実験動物の特徴に関する記述として正しいのはどれか。,ウサギは嘔吐抑制薬の開発に用いられる。,フェレットは胆囊を欠く。,ブタの腎臓の尿濃縮能は低い。,モルモットの未受精卵は他の哺乳類の精子を受け入れる。,シリアンハムスターは脳梗塞誘発モデルになる。,3,3,ブタの腎臓の尿濃縮能は低い。
77,72,B,72-B-077,RNAウイルスが原因である魚類の疾患はどれか。,コイの上皮腫,ヘルペスウイルス病(OMVD),ウイルス性腹水症,リンホシスチス病,マダイイリドウイルス病,3,3,ウイルス性腹水症
78,72,B,72-B-078,海水魚の白点病とその病原体に関する記述として正しいのはどれか。,マダイには塩化リゾチームが経口投与薬として承認されている。,Ichthyophthirius multifiliis の感染による疾患である。,眼球が白濁する。,栄養体は馬蹄状の核を有する。,筋肉融解を起こす。,1,1,マダイには塩化リゾチームが経口投与薬として承認されている。
79,72,B,72-B-079,粘液胞子虫による疾患はどれか。,ヘテロボツリウム症,ベネデニア症,カリグス症,アミルージニウム症,筋肉クドア症,5,5,筋肉クドア症
80,72,B,72-B-080,2020年末までに我が国で発生の報告がない魚類の疾患はどれか。,イクチオホヌス症,真菌性肉芽腫症,伝染性造血器壊死症,コイ春ウイルス血症,細菌性冷水病,4,4,コイ春ウイルス血症
1,73,B,73-B-001,止瀉薬はどれか。（2つ選びなさい。）,ロペラミド,ベルベリン,ラクツロース,ピコスルファートナトリウム,グリセリン,1,"1, 2","ロペラミド,ベルベリン"
2,73,B,73-B-002,トキソプラズマ症の治療薬はどれか。,ルフェヌロン,メラルソミン,スルファモノメトキシン,ビチオノール,アレスリン,3,3,スルファモノメトキシン
3,73,B,73-B-003,慢性うっ血性心不全に使用すべきでない薬はどれか。,フロセミド,イソプロテレノール,ベナゼプリル,硝酸イソソルビド,カンデサルタン,2,2,イソプロテレノール
4,73,B,73-B-004,プロプラノロールに関する記述として誤っているのはどれか。,βアドレナリン受容体拮抗薬である。,膜安定化作用を有する。,高血圧症に使用する。,気管支喘息に使用する。,心室性期外収縮に使用する。,4,4,気管支喘息に使用する。
5,73,B,73-B-005,抗痙攣薬はどれか。（2つ選びなさい。）,ブチルスコポラミン,ストリキニーネ,アミノカプロン酸,バルプロ酸,フェノバルビタール,5,"4, 5","バルプロ酸,フェノバルビタール"
6,73,B,73-B-006,牛のアカバネ病の組織病変に関する記述として適切なのはどれか。（2つ選びなさい。）,非化膿性脳脊髄炎,多発性非化膿性関節炎,股関節異形成症,成長板の軟骨内骨化不全,骨格筋の矮小筋症,2,"1, 5","非化膿性脳脊髄炎,骨格筋の矮小筋症"
7,73,B,73-B-007,下垂体の疾患に関する記述として適当なのはどれか。（2つ選びなさい。）,頭蓋咽頭腫はトルコ鞍に発生する。,成長ホルモン産生腺腫は低血糖症を続発する。,下垂体性侏儒症は神経性下垂体の機能低下により起こる。,馬の多毛症はヌル細胞腺腫で認められる。,ACTH産生腺腫はクッシング症候群の原因となる。,2,"1, 5","頭蓋咽頭腫はトルコ鞍に発生する。,ACTH産生腺腫はクッシング症候群の原因となる。"
8,73,B,73-B-008,犬の消化管間質腫瘍に関する記述として適当なのはどれか。（2つ選びなさい。）,消化管内腔に向かってポリープ状に増殖する。,カハール介在細胞またはその幹細胞(未分化細胞)が起源とされている。,腫瘍細胞はKIT(CD117)を発現する。,良性腫瘍である。,腫瘍細胞は免疫組織化学的にサイトケラチンに陽性を示す。,3,"2, 3","カハール介在細胞またはその幹細胞(未分化細胞)が起源とされている。,腫瘍細胞はKIT(CD117)を発現する。"
9,73,B,73-B-009,豚で繁殖障害が問題となるウイルス性疾患はどれか。,日本脳炎,豚水疱病,口蹄疫,豚流行性下痢,E型肝炎,1,1,日本脳炎
10,73,B,73-B-010,幼犬に心筋炎を起こす疾患はどれか。,犬伝染性肝炎,犬ジステンパー,犬パルボウイルス感染症,犬コロナウイルス感染症,狂犬病,3,3,犬パルボウイルス感染症
11,73,B,73-B-011,鼻疽の診断に用いられる反応はどれか。,ツベルクリン反応,ヨーニン反応,シュワルツマン反応,膣粘液凝集反応,マレイン反応,5,5,マレイン反応
12,73,B,73-B-012,小反芻獣疫の原因となるウイルスが属する科はどれか。,ヘルペスウイルス科,ラブドウイルス科,アルテリウイルス科,フラビウイルス科,パラミクソウイルス科,5,5,パラミクソウイルス科
13,73,B,73-B-013,インフルエンザウイルスに対するアマンタジンの作用機序はどれか。,ウイルスRNAの合成阻害,ウイルス粒子の放出阻害,逆転写反応の阻害,ウイルスのプロテアーゼ阻害,脱殻阻害,5,5,脱殻阻害
14,73,B,73-B-014,マレック病と同じウイルス科のウイルスが原因となる疾患はどれか。（2つ選びなさい。）,悪性カタル熱,牛流行熱,アフリカ馬疫,犬ジステンパー,猫ウイルス性鼻気管炎,2,"1, 5","悪性カタル熱,猫ウイルス性鼻気管炎"
15,73,B,73-B-015,2021年12月現在、我が国で承認されていないワクチンはどれか。,アカバネ病ワクチン,猫伝染性腹膜炎ワクチン,牛コロナウイルス感染症ワクチン,犬コロナウイルス感染症ワクチン,馬鼻肺炎ワクチン,2,2,猫伝染性腹膜炎ワクチン
16,73,B,73-B-016,猫カリシウイルス感染症に関する記述として正しいのはどれか。（2つ選びなさい。）,猫汎白血球減少症との類症鑑別が必要である。,有効な治療法はない。,ウイルスは主として腸管の細胞で増殖する。,弱毒生ワクチンおよび不活化ワクチンが市販されている。,回復した猫がキャリアーになることが多い。,5,"4, 5","弱毒生ワクチンおよび不活化ワクチンが市販されている。,回復した猫がキャリアーになることが多い。"
17,73,B,73-B-017,ウマバエ幼虫症とその病原体に関する記述として適切なのはどれか。（2つ選びなさい。）,日本にはウマバエ(Gasterophilus intestinalis)のみが分布する。,冬期はさなぎとして外界で過ごす。,成虫は馬の糞便に産卵する。,特徴的な症状は胃炎や胃潰瘍である。,感染馬の口腔内組織に炎症や壊死が認められる場合がある。,5,"4, 5","特徴的な症状は胃炎や胃潰瘍である。,感染馬の口腔内組織に炎症や壊死が認められる場合がある。"
18,73,B,73-B-018,イベルメクチンによる治療が有効な寄生虫症はどれか。（2つ選びなさい。）,糞線虫症,クリプトスポリジウム症,肝蛭症,ジアルジア症,疥癬,2,"1, 5","糞線虫症,疥癬"
19,73,B,73-B-019,腸管出血性大腸菌食中毒とその原因菌に関する記述として適切なのはどれか。,鶏肉の生食を原因とすることが多い。,病原因子は耐熱性エンテロトキシンである。,溶血性尿毒症症候群(HUS)を発症することがある。,最少発症菌数は約105 個である。,ヒトからヒトへの感染はない。,3,3,溶血性尿毒症症候群(HUS)を発症することがある。
